unknown	document	note	3630 nodes, 101 of them focusable, at 1 device pixels per CSS pixel
unknown	rect	node:	901.0 294.0 236.0 64.0
unknown	rect	node:	901.0 294.0 236.0 64.0
unknown	rect	node:	901.0 294.0 165.0 16.0
unknown	rect	node:	901.0 318.0 236.0 16.0
unknown	rect	node:	901.0 342.0 94.0 16.0
unknown	rect	node:Text off the atlasturned, oversized and 	24.0 462.0 514.0 486.0
unknown	rect	node:Text off the atlas	41.0 479.0 480.0 24.0
unknown	rect	node:turned, oversized and gradient-filled ru	41.0 507.0 480.0 16.0
unknown	rect	node:rotatedRotated 20°display sizeAggradient	41.0 527.0 480.0 404.0
unknown	rect	node:rotatedRotated 20°	41.0 539.0 480.0 111.0
unknown	rect	node:rotated	41.0 539.0 480.0 17.0
unknown	rect	node:Rotated 20°	41.0 560.0 480.0 90.0
unknown	rect	node:Rotated 20°	41.0 560.0 220.0 90.0
unknown	rect	node:Rotated 20°	41.0 560.0 139.0 36.0
unknown	rect	node:display sizeAg	41.0 662.0 480.0 152.0
unknown	rect	node:display size	41.0 662.0 480.0 16.0
unknown	rect	node:Ag	41.0 682.0 480.0 132.0
unknown	rect	node:Ag	41.0 682.0 159.0 132.0
unknown	rect	node:gradientGradient	41.0 826.0 480.0 105.0
unknown	rect	node:gradient	41.0 826.0 480.0 17.0
unknown	rect	node:Gradient	41.0 847.0 480.0 84.0
unknown	rect	node:Gradient	41.0 847.0 244.0 84.0
unknown	rect	node:Iconone path each, coloured by the inher	554.0 462.0 314.0 183.0
unknown	rect	node:Icon	571.0 479.0 280.0 24.0
unknown	rect	node:one path each, coloured by the inherited	571.0 507.0 280.0 16.0
unknown	rect	node:markssizes	571.0 527.0 280.0 101.0
unknown	rect	node:marks	571.0 539.0 280.0 37.0
unknown	rect	node:marks	571.0 539.0 280.0 17.0
unknown	rect	node:	571.0 560.0 280.0 16.0
unknown	rect	node:	571.0 560.0 16.0 16.0
unknown	rect	node:	595.0 560.0 16.0 16.0
unknown	rect	node:	619.0 560.0 16.0 16.0
unknown	rect	node:	643.0 560.0 16.0 16.0
unknown	rect	node:	667.0 560.0 16.0 16.0
unknown	rect	node:	691.0 560.0 16.0 16.0
unknown	rect	node:	715.0 560.0 16.0 16.0
unknown	rect	node:	739.0 560.0 16.0 16.0
unknown	rect	node:sizes	571.0 588.0 280.0 40.0
unknown	rect	node:sizes	571.0 588.0 280.0 16.0
unknown	rect	node:	571.0 608.0 280.0 20.0
unknown	rect	node:	571.0 612.0 12.0 12.0
unknown	rect	node:	591.0 610.0 16.0 16.0
unknown	rect	node:	615.0 608.0 20.0 20.0
unknown	rect	node:Input and textareafilled, empty with a p	884.0 462.0 270.0 414.0
unknown	rect	node:Input and textarea	901.0 479.0 236.0 24.0
unknown	rect	node:filled, empty with a placeholder, and di	901.0 507.0 236.0 16.0
unknown	rect	node:labelledDisplay nameAda Lovelaceplacehol	901.0 527.0 236.0 332.0
unknown	rect	node:labelledDisplay nameAda Lovelace	901.0 539.0 236.0 79.0
unknown	rect	node:labelled	901.0 539.0 236.0 17.0
unknown	rect	node:Display nameAda Lovelace	901.0 560.0 236.0 58.0
unknown	rect	node:Display nameAda Lovelace	901.0 560.0 236.0 58.0
unknown	rect	node:Display name	901.0 560.0 236.0 18.0
unknown	rect	node:Ada Lovelace	901.0 582.0 236.0 36.0
unknown	rect	node:Ada Lovelace	914.0 590.0 90.0 20.0
unknown	rect	node:placeholder	901.0 630.0 236.0 56.0
unknown	rect	node:placeholder	901.0 630.0 236.0 16.0
unknown	rect	node:	901.0 650.0 236.0 36.0
unknown	rect	node:	901.0 650.0 236.0 36.0
unknown	rect	node:disabled	901.0 698.0 236.0 57.0
unknown	rect	node:disabled	901.0 698.0 236.0 17.0
unknown	rect	node:	901.0 719.0 236.0 36.0
unknown	rect	node:	901.0 719.0 236.0 36.0
unknown	rect	node:textareaTwo lines of
notes.	901.0 767.0 236.0 92.0
unknown	rect	node:textarea	901.0 767.0 236.0 16.0
unknown	rect	node:Two lines of
notes.	901.0 787.0 236.0 72.0
unknown	rect	node:Two lines of
notes.	901.0 787.0 236.0 72.0
unknown	rect	node:One-time codeone box per charactersix bo	24.0 964.0 514.0 159.0
unknown	rect	node:One-time code	41.0 981.0 480.0 24.0
unknown	rect	node:one box per character	41.0 1009.0 480.0 16.0
unknown	rect	node:six boxes42	41.0 1029.0 480.0 77.0
unknown	rect	node:six boxes42	41.0 1041.0 480.0 65.0
unknown	rect	node:six boxes	41.0 1041.0 480.0 17.0
unknown	rect	node:42	41.0 1062.0 480.0 44.0
unknown	rect	node:42	41.0 1062.0 256.0 44.0
unknown	rect	node:4	41.0 1062.0 36.0 44.0
unknown	rect	node:4	54.0 1072.0 10.0 24.0
unknown	rect	node:2	85.0 1062.0 36.0 44.0
unknown	rect	node:2	98.0 1072.0 10.0 24.0
unknown	rect	node:	129.0 1062.0 36.0 44.0
